"GEO_ID","B01003_001E","B01003_001M","NAME"
"id","Estimate!!Total","Margin of Error!!Total","Geographic Area Name"
"310M100US32940","106683","*****","Meridian, MS Micro Area"
"310M100US32980","29075","*****","Merrill, WI Micro Area"
"310M100US33020","25684","*****","Mexico, MO Micro Area"
"310M100US33060","32193","*****","Miami, OK Micro Area"
"310M100US33100","5478869","*****","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area"
"310M100US33140","110937","*****","Michigan City-La Porte, IN Metro Area"
"310M100US33180","28793","*****","Middlesborough, KY Micro Area"
"310M100US33220","83626","*****","Midland, MI Micro Area"
"310M100US33260","132103","*****","Midland, TX Metro Area"
"310M100US33300","56554","*****","Milledgeville, GA Micro Area"
"310M100US33340","1539897","*****","Milwaukee-Waukesha-West Allis, WI Metro Area"
"310M100US33380","41238","*****","Minden, LA Micro Area"
"310M100US33420","27927","*****","Mineral Wells, TX Micro Area"
"310M100US33460","3229181","*****","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
"310M100US33500","67303","*****","Minot, ND Micro Area"
"310M100US33540","107288","*****","Missoula, MT Metro Area"
"310M100US33580","22779","*****","Mitchell, SD Micro Area"
"310M100US33620","25495","*****","Moberly, MO Micro Area"
"310M100US33660","408620","*****","Mobile, AL Metro Area"
"310M100US33700","509682","*****","Modesto, CA Metro Area"
"310M100US33740","174957","*****","Monroe, LA Metro Area"
"310M100US33780","152784","*****","Monroe, MI Metro Area"
"310M100US33820","36448","*****","Monroe, WI Micro Area"
"310M100US33860","370554","*****","Montgomery, AL Metro Area"
"310M100US33940","40266","*****","Montrose, CO Micro Area"
"310M100US33980","65068","*****","Morehead City, NC Micro Area"
"310M100US34020","54348","*****","Morgan City, LA Micro Area"
"310M100US34060","125691","*****","Morgantown, WV Metro Area"
"310M100US34100","134876","*****","Morristown, TN Metro Area"
"310M100US34140","36645","*****","Moscow, ID Micro Area"
"310M100US34180","85142","*****","Moses Lake, WA Micro Area"
